,50,100,150,200,250,300,350,400
0,0.931,0.925,0.88,0.907,0.928,0.915,0.918,0.914
1,0.854,0.861,0.861,0.861,0.861,0.861,0.865,0.865
2,0.941,0.937,0.912,0.908,0.897,0.901,0.904,0.926
3,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949
4,0.903,0.907,0.907,0.907,0.907,0.907,0.907,0.907
